"64428736 "	" Alligator's Sword "	" Ящер-Мечник "	"  Normal Monster "	"  Beast "	" Зверь "	" ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound! "	"Эй, этот могущественный ящер-человек может махать своим мечом настолько быстро, что его скорость превосходит скорость звука!"
"64428736 "	" Alligator's Sword "	" Ящер-Мечник "	"  Normal Monster "	"  Beast "	" Зверь "	" ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound! "	"Эй, этот могущественный ящер-человек может махать своим мечом настолько быстро, что его скорость превосходит скорость звука!"
"3366982 "	" Alligator's Sword Dragon "	"Ящер Верхом на Драконе"	"  Fusion Monster "	"  Dragon "	" Дракон "	" ""Baby Dragon"" + ""Alligator's Sword""^This card can attack your opponent directly if the only face-up monsters they control are EARTH, WATER, or FIRE. "	"«Молодой Дракон» + «Ящер-Мечник»^Эта карта может нападать на вашего оппонента напрямую, если единственные открытые монстры, которых он контролирует, являются монстрами атрибута Земли, Воды или Огня."
"48305365 "	" Axe Raider "	"Мародёр с Секирой"	"  Normal Monster "	"  Warrior "	" Воин "	" An axe-wielding monster of tremendous strength and agility. "	" Орудующий секирой воин с огромной силой и ловкостью."
"48305365 "	" Axe Raider "	"Мародёр с Секирой"	"  Normal Monster "	"  Warrior "	" Воин "	" An axe-wielding monster of tremendous strength and agility. "	" Орудующий секирой воин с огромной силой и ловкостью."
"88819587 "	" Baby Dragon "	" Молодой Дракон "	"  Normal Monster "	"  Dragon "	" Дракон "	" Much more than just a child, this dragon is gifted with untapped power. "	"Этот дракон - не просто ребенок, в нем скрыт огромный потенциал силы."
"88819587 "	" Baby Dragon "	" Молодой Дракон "	"  Normal Monster "	"  Dragon "	" Дракон "	" Much more than just a child, this dragon is gifted with untapped power. "	"Этот дракон - не просто ребенок, в нем скрыт огромный потенциал силы."
"36280194 "	" Backup Soldier "	"Резервный отряд"	"  Trap Card "	"  Normal "	" Нормальный "	" While there are 5 or more monsters in your Graveyard: Target up to 3 non-Effect Monsters with 1500 or less ATK in your Graveyard; add them to your hand. "	" Если в вашем кладбище 5 или более монстров: выберите целью до 3 монстров без эффектов с АТК 1500 или меньше на вашем кладбище; добавьте их в свою руку."
"40133511 "	" Bazoo the Soul-Eater "	" Базу Пожиратель Душ "	"  Effect Monster "	"  Beast "	" Зверь "	" Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until the end of your opponent's turn. "	" Один раз за ход: вы можете изгнать до 3 монстров со своего кладбища; эта карта получает 300 АТК за каждую до конца хода вашего оппонента."
"78193831 "	" Buster Blader "	"Непобедимый Мечник"	"  Effect Monster "	"  Warrior "	" Воин "	" Gains 500 ATK for each Dragon monster your opponent controls or is in their GY. "	"Увеличивает ATK на 500 за каждого Дракона, которого контролирует ваш противник или который находится в его кладбище."
"97077563 "	" Call of the Haunted "	"Зов Мертвецов"	"  Trap Card "	"  Continuous "	" Непрерывный "	" Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card. "	"Активируйте эту карту, выбрав 1 монстра в вашем кладбище; специально призовите выбранную цель в атакующей позиции. Когда эта карта покидает поле, уничтожьте монстра. Когда этот монстр разрушается, уничтожьте эту карту."
"57953380 "	" Card of Safe Return "	"Магический символ спасения"	"  Spell Card "	"  Continuous "	" Непрерывный "	" When a monster is Special Summoned from your Graveyard, you can draw 1 card. "	"Когда монстр специально призывается из вашего кладбища, вы можете взять 1 карту."
"1248895 "	" Chain Destruction "	" Разрушение Цепи "	"  Trap Card "	"  Normal "	" Нормальный "	" When a monster(s) with 2000 or less ATK is Summoned: Target 1 of them; destroy all cards with that name in its controller's hand and Main Deck. "	"Когда призывается монстр(ы) с АТК 2000 или менее: выберите 1 из них; уничтожьте все карты с таким же именем в руке и главной колоде его контролирующего игрока."
"4031928 "	" Change of Heart "	" Изменение Сердца "	"  Spell Card "	"  Normal "	" Нормальный "	" Target 1 monster your opponent controls; take control of it until the End Phase. "	"Выберите 1 монстра на поле вашего противника; получите контроль над ним до Конечной фазы."
"60862676 "	" Flame Cerebrus "	" Пламенный Цербер "	"  Normal Monster "	"  Pyro "	"Пиро"	" Known to many as the ""Burning Executioner"", this monster is capable of burning enemies to cinders. "	"Известный многим как «Пылающий Палач», этот монстр способен превратить врагов в пепел."
"86281779 "	" Gadget Soldier "	"Техносолдат"	"  Normal Monster "	"  Machine "	" Машина "	" A rust-free machine warrior born to battle. "	"Механический воин, созданный для битв. Изготовлен из нержавеющего металла."
"11549357 "	" Gamma the Magnet Warrior "	" Гамма, Магнитный Воин "	"  Normal Monster "	"  Rock "	" Камень"	" Alpha, Beta, and Gamma meld as one to form a powerful monster. "	" Альфа, Бета и Гамма сливаются воедино, образуя могущественного монстра."
"69140098 "	" Gemini Elf "	"Эльфы Близнецы"	"  Normal Monster "	"  Spellcaster "	" Заклинатель "	" Elf twins that alternate their attacks. "	"Эльфийские близнецы, чередующие свои атаки."
"69140098 "	" Gemini Elf "	"Эльфы Близнецы"	"  Normal Monster "	"  Spellcaster "	" Заклинатель "	" Elf twins that alternate their attacks. "	"Эльфийские близнецы, чередующие свои атаки."
"42703248 "	" Giant Trunade "	"Разрушительный Ураган"	"  Spell Card "	"  Normal "	" Нормальный "	" Return all Spell and Trap Cards on the field to the hand. "	" Верните все карты заклинаний и ловушек с поля в руку."
"78658564 "	" Goblin Attack Force "	"Боевой Отряд Гоблинов"	"  Effect Monster "	"  Warrior "	" Воин "	" If this card attacks, it is changed to Defense Position at the end of the Battle Phase, and its battle position cannot be changed until the End Phase of your next turn. "	"Если эта карта атакует, она переводится в защитную позицию в конце Боевой фазы, и её боевая позиция не может быть изменена до Конечной фазы вашего следующего хода."
"74137509 "	" Graceful Dice "	"Ангельские кости "	"  Spell Card "	"  Quick-Play "	" Быстрая игра "	" Roll a six-sided die. All monsters you currently control gain ATK/DEF equal to the result x 100, until the end of this turn. "	" Бросьте шестигранный кубик. Все монстры, находящиеся под вашим контролем, получают АТК/DEF, равные результату x 100, до конца этого хода."
"10992251 "	" Gradius "	" Градиус "	"  Normal Monster "	"  Machine "	" Машина "	" A high-performance jet fighter with power capsules for variable attack capabilities. "	"Высокотехнологичный истребитель с силовыми капсулами для изменяемых боевых возможностей."
"18144507 "	" Harpie's Feather Duster "	"Перо Гарпии"	"  Spell Card "	"  Normal "	" Нормальный "	" Destroy all Spell and Trap Cards your opponent controls. "	" Уничтожьте все карты заклинаний и ловушек под контролем вашего оппонента."
"5434080 "	" Headless Knight "	" Безголовый Рыцарь "	"  Normal Monster "	"  Fiend "	"Нечисть"	" A haunted spirit of a falsely accused knight who wanders in search of truth and justice. "	"Призрак рыцаря, которого обвинили в предательстве и казнили. В поисках того, что он потерял, он нападает на всех, кого встречает."
"4042268 "	" Island Turtle "	" Островная Черепаха "	"  Normal Monster "	"  Aqua "	" Аква "	" A huge turtle that is often mistaken for an island. "	" Огромная черепаха, которую часто принимают за остров."
"62279055 "	" Magic Cylinder "	" Волшебный Цилиндр "	"  Trap Card "	"  Normal "	" Нормальный "	" When an opponent's monster declares an attack: Target the attacking monster; negate the attack, and if you do, inflict damage to your opponent equal to its ATK. "	"Когда монстр противника объявляет атаку: выберите атакующего монстра; аннулируйте атаку, и если сделаете это, нанесите урон вашему противнику, равный его АТК."
"77414722"	" Magic Jammer "	"Глушитель Магии"	"  Trap Card "	"  Counter "	" Счетчик "	" When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it. "	"Когда активируется Карта Магии: сбросьте 1 карту; аннулируйте активацию и, если сделаете это, уничтожьте её."
"83764719 "	" Monster Reborn "	"Возрождение "	"  Spell Card "	"  Normal "	" Нормальный "	" Target 1 monster in either GY; Special Summon it. "	"Выберите 1 монстр в любом кладбище; специально призовите его."
"79106360 "	" Morphing Jar #2 "	" Сосуд Хаоса №2 "	"  Flip Effect Monster "	"  Rock "	" Камень"	" FLIP: Shuffle all monsters on the field into the Deck. Then, each player excavates cards from the top of their Deck, until they excavate the same number of monsters they shuffled into their Main Deck. Special Summon all excavated Level 4 or lower monsters in face-down Defense Position, also send the remaining cards to the Graveyard. "	"ПЕРЕВОРОТ: Замешайте всех монстров с поля в колоду. Затем каждый игрок выкладывает карты своей колоды до тех пор, пока не выложит столько же монстров, сколько он перемешал в свою главную колоду. Специально призовите всех выложенных монстров уровня 4 или ниже в защитной позиции лицевой стороной вниз, а оставшиеся карты отправьте на кладбище."
"5318639 "	" Mystical Space Typhoon "	"Пространственный Вихрь"	"  Spell Card "	"  Quick-Play "	" Быстрая игра "	" Target 1 Spell/Trap on the field; destroy that target. "	"Выберите 1 Магию/Ловушку на поле; уничтожьте цель."
"5318639 "	" Mystical Space Typhoon "	"Пространственный Вихрь"	"  Spell Card "	"  Quick-Play "	" Быстрая игра "	" Target 1 Spell/Trap on the field; destroy that target. "	"Выберите 1 Магию/Ловушку на поле; уничтожьте цель."
"22567609 "	" Nimble Momonga "	" Шустрая Летяга"	"  Effect Monster "	"  Beast "	" Зверь "	" When this card is destroyed by battle and sent to the Graveyard: Gain 1000 Life Points, then you can Special Summon any number of ""Nimble Momongas"" from your Deck in face-down Defense Position. "	" Когда эта карта уничтожается в бою и отправляется на кладбище: получите 1000 очков жизни, после чего вы можете совершить особый призыв любого количества «Шустрых Летяг» из вашей колоды в защитной позиции лицом вниз."
"22567609 "	" Nimble Momonga "	" Шустрый Летяга"	"  Effect Monster "	"  Beast "	" Зверь "	" When this card is destroyed by battle and sent to the Graveyard: Gain 1000 Life Points, then you can Special Summon any number of ""Nimble Momongas"" from your Deck in face-down Defense Position. "	" Когда эта карта уничтожается в бою и отправляется на кладбище: получите 1000 очков жизни, после чего вы можете совершить особый призыв любого количества «Шустрых Летяг» из вашей колоды в защитной позиции лицом вниз."
"93920745 "	" Penguin Soldier "	" Пингвин-Солдат "	"  Flip Effect Monster "	"  Aqua "	" Аква "	" FLIP: You can target up to 2 monsters on the field; return those targets to the hand. "	"ПЕРЕВОРОТ: Вы можете выбрать до 2 монстров на поле; верните их в руку."
"24094653 "	" Polymerization "	" Полимеризация "	"  Spell Card "	"  Normal "	" Нормальный "	" Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. "	"Призовите Слиянием 1 Монстра из вашей Экстра Колоды, используя монстров из вашей руки или поля в качестве Материалов для Слияния."
"26202165 "	" Sangan "	" Санган "	"  Effect Monster "	"  Fiend "	"Нечисть"	" If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn. "	"Если эта карта отправлена с поля на кладбище: Добавьте 1 монстра с атакой 1500 или менее из вашей колоды в руку, но вы не можете активировать карты или эффекты карт с таким же именем до конца этого хода. Вы можете использовать эффект «Сангана» только один раз за ход."
"3797883 "	" Slot Machine "	" Игровой Автомат "	"  Normal Monster "	"  Machine "	" Машина "	" The machine's ability is said to vary according to its slot results. "	"Говорят, что способности машины изменяются в зависимости от результатов её слотов."
"68049471 "	" The Gross Ghost of Fled Dreams "	"Призрак Исчезнувших Снов"	"  Normal Monster "	"  Fiend "	"Нечисть"	" This monster feeds on the dreams of an unwary sleeper, dragging the victim into eternal slumber. "	"Это чудовище питается снами ничего не подозревающего спящего и утягивает свою жертву в вечный сон."
"49791927 "	" Tiger Axe "	"Тигр с Топором"	"  Normal Monster "	"  Beast-Warrior "	" Зверь-Воин "	" A fast and powerful axe-wielding beast-warrior. "	"Быстрый и мощный зверь-воин с топором."
"49791927 "	" Tiger Axe "	"Тигр с Топором"	"  Normal Monster "	"  Beast-Warrior "	" Зверь-Воин "	" A fast and powerful axe-wielding beast-warrior. "	"Быстрый и мощный зверь-воин с топором."
"53582587 "	" Torrential Tribute "	"Погребение в Ревущем Потоке"	"  Trap Card "	"  Normal "	" Нормальный "	" When a monster(s) is Summoned: Destroy all monsters on the field. "	" При вызове монстра(ов): уничтожьте всех монстров на поле."
"79759861"	" Tribute to the Doomed "	"Подношение Мертвым"	"  Spell Card "	"  Normal "	" Нормальный "	" Discard 1 card, then target 1 monster on the field; destroy it. "	"Сбросьте 1 карту, затем выберите 1 монстра на поле; уничтожьте его."
"78010363 "	" Witch of the Black Forest "	" Ведьма Чёрного Леса"	"  Effect Monster "	"  Spellcaster "	" Заклинатель "	" If this card is sent from the field to the GY: Add 1 monster with 1500 or less DEF from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Witch of the Black Forest"" once per turn. "	"Если эта карта отправлена с поля на кладбище: Добавьте 1 монстра с защитой 1500 или менее из вашей колоды в руку, но вы не можете активировать карты или эффекты карт с таким именем до конца этого хода. Вы можете использовать эффект «Ведьмы Чёрного Леса» только один раз за ход."
"88472456 "	" Zombyra the Dark "	"Темный Герой-Зомби"	"  Effect Monster "	"  Warrior "	" Воин "	" This card cannot attack your opponent directly. If this card destroys a monster by battle: This card loses 200 ATK. "	"Эта карта не может атаковать вашего противника напрямую. Если эта карта уничтожает монстра в бою, она теряет 200 ATK."
